FN421434	Vibrio hippocampi
GQ281380	Vibrio stylophorae
AF118021	Enterovibrio calviensis
AM942722	Enterovibrio nigricans
KP216206	Enterovibrio pacificus
AJ842343	Enterovibrio coralii
LT160079	Grimontia celer
FJ943235	Grimontia marina
AJ514909	Grimontia hollisae
AJ316208	Enterovibrio norvegicus
AJ640132	Salinivibrio costicola subsp. alcaliphilus
X74699	Salinivibrio costicola subsp. costicola
AM279734	Salinivibrio sharmensis
AB285018	Salinivibrio siamensis
AF057016	Salinivibrio costicola subsp. vallismortis
DQ092443	Salinivibrio proteolyticus
AY643710	Photobacterium iliopiscarium
AY341439	Photobacterium kishitanii
KC951111	Photobacterium piscicola
D25310	Photobacterium phosphoreum
AB428873	Photobacterium aquimaris
D25307	Photobacterium angustum
AY781193	Photobacterium aplysiae
AY554009	Photobacterium lipolyticum
D21226	Photobacterium profundum
AB016982	Photobacterium indicum
AY538749	Photobacterium frigidiphilum
GQ454928	Photobacterium sanguinicancri
GQ386822	Photobacterium swingsii
GU065210	Photobacterium jeanii
AY960847	Photobacterium ganghwense
AY551089	Photobacterium halotolerans
KR704916	Photobacterium galatheae
GQ260188	Photobacterium gaetbulicola
DQ534014	Photobacterium lutimaris
AJ842344	Photobacterium rosenbergii
JQ948040	Photobacterium aquae
KC990827	Photobacterium panuliri
FN796493	Photobacterium aphoticum
JF751050	Photobacterium aestuarii
KU315478	Photobacterium alginatilyticum
KT971138	Photobacterium proteolyticum
AB032015	Photobacterium damselae subsp. damselae
X78105	Photobacterium damselae subsp. piscicida
X74686	Photobacterium leiognathi
KC751088	Photobacterium sanctipauli
KU140414	Paraphotobacterium marinum
AF168367	Oceanimonas baumannii
AY538714	Oceanimonas smirnovii
AB019390	Oceanimonas doudoroffii
HM475140	Zobellella aerophila
DQ195675	Zobellella denitrificans
DQ195676	Zobellella taiwanensis
DQ190441	Oceanisphaera donghaensis
HQ171441	Oceanisphaera sediminis
FN377705	Oceanisphaera arctica
AJ550470	Oceanisphaera litoralis
KF418814	Oceanisphaera psychrotolerans
KF591598	Oceanisphaera profunda
KX675452	Oceanisphaera marina
HQ340607	Oceanisphaera ostreae
FM955224	Gallaecimonas pentaromativorans
JQ666155	Gallaecimonas xiamenensis
KX450475	Colwellia mytili
KU696539	Colwellia sediminilitoris
FJ889599	Colwellia chukchiensis
DQ055844	Colwellia aestuarii
JQ948043	Colwellia aquaemaris
KF193862	Colwellia meonggei
KX618643	Colwellia agarivorans
DQ007434	Colwellia polaris
EU599214	Colwellia asteriadis
KM108776	Colwellia arctica
AB011364	Colwellia psychrerythraea
U85846	Colwellia psychrotropica
U14581	Colwellia rossensis
AB002630	Colwellia maris
AB971664	Colwellia marinimaniae
AB094412	Colwellia piezophila
U85845	Colwellia demingiae
AB369380	Thalassomonas actiniarum
AJ294747	Thalassomonas viridans
AB369381	Thalassomonas haliotis
LN849949	Thalassotalea euphylliae
FJ347761	Thalassotalea montiporae
AY194066	Thalassotalea ganghwensis
KF484399	Thalassotalea fusca
KT153611	Thalassotalea marina
JQ288724	Thalassotalea eurytherma
AY643537	Thalassotalea loyana
DQ212914	Thalassotalea agarivorans
HM237288	Thalassotalea agariperforans
KT224448	Thalassotalea sediminis
JX412957	Thalassotalea piscium
KJ939338	Thalassotalea ponticola
AB076561	Agarivorans albus
KJ729029	Agarivorans litoreus
KM203871	Agarivorans aestuarii
GQ200591	Agarivorans gilvus
FJ167390	Aliagarivorans marinus
FJ167391	Aliagarivorans taiwanensis
DQ913890	Celerinatantimonas diazotrophica
FJ039852	Celerinatantimonas yamalensis
KR610526	Motilimonas eburnea
EU600203	Idiomarina maritima
EU423907	Idiomarina tainanensis
EU423908	Idiomarina marina
EU600204	Idiomarina donghaiensis
KF487034	Idiomarina woesei
JN867053	Idiomarina indica
GU471247	Idiomarina xiamenensis
EF212001	Idiomarina sediminum
DQ118948	Idiomarina taiwanensis
FJ768737	Idiomarina aestuarii
KC762312	Idiomarina planktonica
KJ825892	Idiomarina atlantica
EF486355	Pseudidiomarina salinarum
FJ906745	Idiomarina aquimaris
DQ342238	Pseudidiomarina homiensis
KF963828	Idiomarina halophila
FM877003	Idiomarina insulisalsae
AJ440214	Idiomarina baltica
KF732819	Idiomarina tyrosinivorans
AY526861	Idiomarina fontislapidosi
HF954116	Idiomarina aquatica
AB619724	Idiomarina piscisalsi
AF052741	Idiomarina zobellii
AY635468	Idiomarina seosinensis
AF288370	Idiomarina loihiensis
AY526862	Idiomarina ramblicola
AF052740	Idiomarina abyssalis
KF724186	Aliidiomarina iranensis
JF922381	Aliidiomarina shirensis
FN995239	Aliidiomarina haloalkalitolerans
JX981923	Aliidiomarina sanyensis
HQ537484	Aliidiomarina taiwanensis
EU723884	Idiomarina maris
KX355166	Aliidiomarina soli
HM851284	Aliidiomarina minuta
